clusterID,pca1,pca2,Row_id,Tweets,Class
0,-0.37,-0.05,452,out eating dinner when the flooding hit ellicottcity flood pictwittercom/jiatywp8ei,help/rescue
0,-0.37,0.21,517,video flood washes away vehicles in ellicott city maryland  henri_sanders pictwittercom/xeoiz0hj0e,help/rescue
0,-0.37,-0.19,141,thoughts and prayers go out to all those impacted by the horrific flood in downtown ellicott city!! besafe,help/rescue
0,-0.37,0.28,394,the people of ellicott city maryland are in our prayers today in the wake of the devastating flood in their community last night,help/rescue
0,-0.36,0.28,374,new video update posted on cbsbaltimore facebook page wjz about ellicottcity flood aftermath,help/rescue
0,-0.36,0.44,97,look at the power of flood waters in maryland last night! simply incredible ellicottcity,help/rescue
0,-0.36,-0.36,77,the flood in ellicott city md breaks my heart so much i used 2 live there & the historic district is so beautiful & 1 of my fave places,help/rescue
0,-0.36,0.15,491,view from my car trying to get home during the ellicottcity flood last night 45 minutes to go two miles pictwittercom/jmuhwomqnc,help/rescue
0,-0.36,0.26,495,thoughts support to our friends at ellicott mills brewing all ellicott city in aftermath of deadly flood,help/rescue
0,-0.36,0.04,366,scenes from ellicott city flood human chain floating cars road collapse  ellicott city md patch,help/rescue
0,-0.36,0.04,579,ellicott city patch scenes from ellicott city flood human chain floating cars road collapse,help/rescue
0,-0.35,0.16,441,those rts of old ellicott city damage photos from last nights storm & flood brings tears to my eyes,help/rescue
0,-0.35,-0.15,590,radar total for the ellicott city flood of 30 july 2016 (just west of baltimore) some totals over 6 pictwittercom/6zzcqvfnbh,help/rescue
0,-0.35,-0.13,48,coverage 2016 ellicott city flood,help/rescue
0,-0.35,0.31,456,our own rob_hix covering the ellicott city flood last night  hoco ellicottcity md howardcounty maryland,help/rescue
0,-0.34,-0.13,267,cars stuck in flood ellicottcity with downed power lines severewxpictwittercom/onhiar1mpj,help/rescue
0,-0.34,0.11,526,so sad to see all the damage from the flood in ellicottcity  md,help/rescue
0,-0.34,0.06,580,scenes from ellicott city flood human chain floating cars road collapse  ellicott city md ellicottcity,help/rescue
0,-0.34,0.06,2,scenes from ellicott city flood human chain floating cars road collapse,help/rescue
0,-0.34,0.05,119,horrific  scenes of ellicott city maryland flood 7/30/16 human chain floating cars road collapse,help/rescue
0,-0.34,-0.17,442,police and emergency responders are searching the river between frederick & ilchester rds looking for cars swept from ellicottcity flood,help/rescue
